date,location,positive_rate
2022-02-14,Poland,0.3
2022-02-15,Poland,0.3
2022-02-16,Poland,0.28
2022-02-17,Poland,0.27
2022-02-18,Poland,0.26
2022-02-19,Poland,0.25
2022-02-20,Poland,0.24
2022-02-21,Poland,0.25
2022-02-22,Poland,0.25
2022-02-23,Poland,0.24
2022-02-24,Poland,0.23
2022-02-25,Poland,0.22
2022-02-26,Poland,0.21
2022-02-27,Poland,0.2
2022-02-28,Poland,0.2
2022-03-01,Poland,0.19
2022-03-02,Poland,0.19
2022-03-03,Poland,0.18
2022-03-04,Poland,0.17
2022-03-05,Poland,0.17
2022-03-06,Poland,0.17
2022-03-07,Poland,0.17
2022-03-08,Poland,0.17
2022-03-09,Poland,0.17
2022-03-10,Poland,0.17
2022-03-11,Poland,0.17
2022-03-12,Poland,0.16
2022-03-13,Poland,0.16
2022-03-14,Poland,0.16
2022-03-15,Poland,0.16
2022-03-16,Poland,0.16
2022-03-17,Poland,0.16
2022-03-18,Poland,0.16
2022-03-19,Poland,0.17
2022-03-20,Poland,0.16
2022-03-21,Poland,0.16
2022-03-22,Poland,0.16
2022-03-23,Poland,0.16
2022-03-24,Poland,0.15
2022-03-25,Poland,0.15
2022-03-26,Poland,0.14
2022-03-27,Poland,0.14
2022-03-28,Poland,0.15
2022-03-29,Poland,0.14
2022-03-30,Poland,0.13
2022-03-31,Poland,0.13
2022-04-01,Poland,0.12
2022-04-02,Poland,0.12
2022-04-03,Poland,0.12
2022-04-04,Poland,0.13
2022-04-05,Poland,0.12
2022-04-06,Poland,0.11
2022-04-07,Poland,0.1
2022-04-08,Poland,0.08
2022-04-09,Poland,0.08
2022-04-10,Poland,0.08
2022-04-11,Poland,0.08
2022-04-12,Poland,0.08
2022-04-13,Poland,0.09
2022-04-14,Poland,0.09
2022-04-15,Poland,0.09
2022-04-16,Poland,0.08
2022-04-17,Poland,0.08
2022-04-18,Poland,0.08
2022-04-19,Poland,0.07
2022-04-20,Poland,0.07
2022-04-21,Poland,0.07
2022-04-22,Poland,0.07
2022-04-23,Poland,0.07
2022-04-24,Poland,0.07
2022-04-25,Poland,0.07
2022-04-26,Poland,0.08
2022-04-27,Poland,0.07
2022-04-28,Poland,0.07
2022-04-29,Poland,0.07
2022-04-30,Poland,0.07
2022-05-01,Poland,0.07
2022-05-02,Poland,0.07
2022-05-03,Poland,0.07
2022-05-04,Poland,0.06
2022-05-05,Poland,0.07
2022-05-06,Poland,0.07
2022-05-07,Poland,0.07
2022-05-08,Poland,0.08
2022-05-09,Poland,0.09
2022-05-10,Poland,0.1
2022-05-11,Poland,0.13
2022-05-12,Poland,0.14
2022-05-13,Poland,0.11
2022-05-14,Poland,0.09
2022-05-15,Poland,0.08
2022-05-16,Poland,0.07
2022-05-17,Poland,0.06
2022-05-18,Poland,0.05
2022-05-19,Poland,0.04
2022-05-20,Poland,0.04
2022-05-21,Poland,0.04
2022-05-22,Poland,0.04
2022-05-23,Poland,0.04
2022-05-24,Poland,0.04
2022-05-25,Poland,0.04
2022-05-26,Poland,0.03
2022-05-27,Poland,0.03
2022-05-28,Poland,0.03
2022-05-29,Poland,0.03
2022-05-30,Poland,0.04
2022-05-31,Poland,0.04
2022-06-01,Poland,0.04
2022-06-02,Poland,0.04
2022-06-03,Poland,0.04
2022-06-04,Poland,0.04
2022-06-05,Poland,0.04
2022-06-06,Poland,0.04
2022-06-07,Poland,0.04
2022-06-08,Poland,0.04
2022-06-09,Poland,0.04
2022-06-10,Poland,0.05
2022-06-11,Poland,0.05
2022-06-12,Poland,0.05
2022-06-13,Poland,0.05
2022-06-14,Poland,0.05
2022-06-15,Poland,0.06
2022-06-16,Poland,0.06
2020-03-15,Spain,0.0
2020-03-16,Spain,0.0
2020-03-17,Spain,0.0
2020-03-18,Spain,0.0
2020-03-19,Spain,0.0
2020-03-20,Spain,0.0
2020-03-21,Spain,0.4
2020-03-22,Spain,0.41
2020-03-23,Spain,0.42
2020-03-24,Spain,0.43
2020-03-25,Spain,0.43
2020-03-26,Spain,0.43
2020-03-27,Spain,0.43
2020-03-28,Spain,0.42
2020-03-29,Spain,0.41
2020-03-30,Spain,0.4
2020-03-31,Spain,0.38
2020-04-01,Spain,0.36
2020-04-02,Spain,0.34
2020-04-03,Spain,0.33
2020-04-04,Spain,0.31
2020-04-05,Spain,0.3
2020-04-06,Spain,0.29
2020-04-07,Spain,0.27
2020-04-08,Spain,0.26
2020-04-09,Spain,0.24
2020-04-10,Spain,0.24
2020-04-11,Spain,0.23
2020-04-12,Spain,0.22
2020-04-13,Spain,0.21
2020-04-14,Spain,0.2
2020-04-15,Spain,0.19
2020-04-16,Spain,0.18
2020-04-17,Spain,0.16
2020-04-18,Spain,0.15
2020-04-19,Spain,0.14
2020-04-20,Spain,0.14
2020-04-21,Spain,0.13
2020-04-22,Spain,0.12
2020-04-23,Spain,0.11
2020-04-24,Spain,0.1
2020-04-25,Spain,0.09
2020-04-26,Spain,0.09
2020-04-27,Spain,0.08
2020-04-28,Spain,0.08
2020-04-29,Spain,0.07
2020-04-30,Spain,0.07
2020-05-01,Spain,0.06
2020-05-02,Spain,0.06
2020-05-03,Spain,0.06
2020-05-04,Spain,0.06
2020-05-05,Spain,0.06
2020-05-06,Spain,0.06
2020-05-07,Spain,0.05
2020-05-08,Spain,0.05
2020-05-09,Spain,0.05
2020-05-10,Spain,0.05
2020-05-11,Spain,0.05
2020-05-12,Spain,0.05
2020-05-13,Spain,0.04
2020-05-14,Spain,0.04
2020-05-15,Spain,0.04
2020-05-16,Spain,0.04
2020-05-17,Spain,0.04
2020-05-18,Spain,0.04
2020-05-19,Spain,0.03
2020-05-20,Spain,0.03
2020-05-21,Spain,0.03
2020-05-22,Spain,0.03
2020-05-23,Spain,0.03
2020-05-24,Spain,0.03
2020-05-25,Spain,0.03
2020-05-26,Spain,0.03
2020-05-27,Spain,0.03
2020-05-28,Spain,0.03
2020-05-29,Spain,0.03
2020-05-30,Spain,0.03
2020-05-31,Spain,0.03
2020-06-01,Spain,0.02
2020-06-02,Spain,0.02
2020-06-03,Spain,0.02
2020-06-04,Spain,0.02
2020-06-05,Spain,0.02
2020-06-06,Spain,0.02
2020-06-07,Spain,0.02
2020-06-08,Spain,0.02
2020-06-09,Spain,0.02
2020-06-10,Spain,0.02
2020-06-11,Spain,0.02
2020-06-12,Spain,0.02
