date,prediction,ci_lower,ci_upper,actual
2023-08-26,15064.507437114487,0.0,47795.60233862303,
2023-08-27,15236.214526593738,0.0,46283.59150618363,
2023-08-28,15153.179060938837,0.0,47260.533044511736,
2023-08-29,15084.029511010685,0.0,48561.381022413385,
2023-08-30,15028.830505167329,0.0,46643.88234170986,
2023-08-31,14987.37430912551,0.0,45414.03631458597,
2023-09-01,14620.99070533832,0.0,45563.426482724426,
2023-09-02,14596.635266894771,0.0,46946.553847939285,
2023-09-03,14869.39251320341,0.0,47029.564112589724,
2023-09-04,14884.938280133138,0.0,48199.77537535768,
2023-09-05,14909.833617310958,0.0,46371.934134841766,
2023-09-06,14942.0753031503,0.0,49361.03255257586,
2023-09-07,14979.456188098671,0.0,47065.740051505956,
2023-09-08,14681.444322007335,0.0,48747.353057345594,
2023-09-09,14713.33849922426,0.0,45739.97263704053,
2023-09-10,15028.834371966306,0.0,48642.876873180176,
2023-09-11,15072.543229862611,0.0,46995.54163161637,
2023-09-12,15110.333699975497,0.0,47779.20480823692,
2023-09-13,15139.919645593687,0.0,49142.05943342804,
2023-09-14,15159.245970486796,0.0,48373.15141894607,
2023-09-15,14828.380142524085,0.0,50420.25242466846,
2023-09-16,14813.666332123112,0.0,49277.249202029205,
2023-09-17,15070.276011822143,0.0,50087.364975309545,
2023-09-18,15044.697260466088,0.0,46039.55898115658,
2023-09-19,15005.033624087508,0.0,47364.287928470905,
2023-09-20,14951.536849276403,0.0,48981.1422749659,
2023-09-21,14884.926646676364,0.0,46779.696097653716,
2023-09-22,14468.207122912516,0.0,48048.56241624539,
2023-09-23,14370.738922134686,0.0,46440.832545979276,
2023-09-24,14550.703327453479,0.0,46104.10263130657,
2023-09-25,14457.50315586792,0.0,48759.12083005237,
2023-09-26,14361.97399632032,0.0,47254.78349000586,
2023-09-27,14266.832828179175,0.0,46921.52595772932,
2023-09-28,14174.919838265361,0.0,49501.97531301711,
2023-09-29,13750.945589613983,0.0,47200.205327818614,
2023-09-30,13665.504871563988,0.0,50729.810554646334,
2023-10-01,13877.495468257042,0.0,47456.99745166826,
2023-10-02,13836.488297716465,0.0,46993.756317975065,
2023-10-03,13812.923665430617,0.0,46282.991592944214,
2023-10-04,13808.561395965546,0.0,47057.332155853124,
2023-10-05,13824.74088922698,0.0,46736.88578109608,
2023-10-06,13524.162970625035,0.0,47463.85732462309,
2023-10-07,13574.95406934204,0.0,45626.278325037194,
2023-10-08,13933.149671793975,0.0,44800.07730623404,
2023-10-09,14045.141750317345,0.0,47917.90603246663,
2023-10-10,14177.962743785276,0.0,48451.2384584101,
2023-10-11,14329.831332179827,0.0,47778.50859614439,
2023-10-12,14498.513248366797,0.0,45134.076693756215,
2023-10-13,14343.205993277748,0.0,45326.599284662894,
