date,forecast_train_2022,ci_lower_2022,ci_upper_2022,forecast_train_2024,ci_lower_2024,ci_upper_2024
2025-06-29,33300.30282683337,23814.43990840666,41824.47544978652,0.0,0.0,5157.195786921692
2025-06-30,33348.89184908565,23860.42891165441,42243.309740584766,0.0,0.0,5918.965278534123
2025-07-01,33398.507243421845,24244.80133304693,42025.34986071229,0.0,0.0,6629.819239542564
2025-07-02,33400.9091480107,24098.075969823003,42341.503335796144,0.0,0.0,6042.467140045031
2025-07-03,33453.864452982845,24095.181729411124,42462.63396457004,0.0,0.0,5863.021841274681
2025-07-04,33505.325140005,23723.57436473538,42074.48198427279,0.0,0.0,6178.745021810899
2025-07-05,33555.876420627916,25131.81380412053,42174.80202585609,0.0,0.0,5788.350724401443
2025-07-06,33684.69852915814,24659.187698713733,42964.52147959041,0.0,0.0,5190.621733410134
2025-07-07,33737.08412225876,24484.53051006865,42964.17236952427,0.0,0.0,5557.901568432378
2025-07-08,33787.38667323469,24879.803067487657,42386.55398020573,0.0,0.0,5637.987252638165
2025-07-09,33787.608132559784,24512.469886590432,42516.7395647691,0.0,0.0,5426.277353205697
2025-07-10,33835.832566116864,24994.375912421565,42446.39888265417,0.0,0.0,5550.8858374475285
2025-07-11,33880.395726605035,24199.881195882426,43085.85150858973,0.0,0.0,5903.662542089841
2025-07-12,33922.322520495225,25224.15718460073,43145.00814925317,0.0,0.0,6235.798375938903
2025-07-13,34041.27653021394,25223.137947674,43209.83299575305,0.0,0.0,6404.587046927922
2025-07-14,34083.06389445871,24585.06984103774,42499.0494544343,0.0,0.0,6926.026098652864
2025-07-15,34122.567321816525,25165.447863706795,42710.273780523574,0.0,0.0,5560.769370792924
2025-07-16,34112.31892167268,24917.9974597778,43111.35083562801,0.0,0.0,6296.996614478659
2025-07-17,34150.91898945194,25605.541963314467,43010.95375877107,0.0,0.0,6012.026830107016
2025-07-18,34187.19112792013,25724.34351841999,43310.47925603072,0.0,0.0,5789.23383704215
2025-07-19,34222.60608142908,25122.41878225629,42938.39012627408,0.0,0.0,5395.994443320024
2025-07-20,34337.218833392224,25170.99543027259,43411.666453507576,0.0,0.0,6089.150485996057
2025-07-21,34377.16162519628,26054.268331677777,43531.02960076081,0.0,0.0,6081.657417949879
2025-07-22,34417.56898134706,25834.064897919077,43236.783332704974,0.0,0.0,6268.624562192967
2025-07-23,34411.14367975866,25607.465106228854,43345.303916493176,0.0,0.0,5736.0571671454345
2025-07-24,34456.570997053524,25439.14871922332,44321.916548755384,0.0,0.0,6747.909259020169
2025-07-25,34502.67173575236,25967.407634620482,44500.28684632011,0.0,0.0,5499.834512330614
2025-07-26,34550.82646414044,26004.741153937724,43616.0892763027,0.0,0.0,5851.487452983319
2025-07-27,34680.91550028828,25091.477236860483,43727.84814409805,0.0,0.0,6336.0244253849405
2025-07-28,34738.817207582884,26366.453764287937,43587.669380039915,0.0,0.0,6571.495241992674
2025-07-29,34799.34052646974,25219.164484551944,43642.0269909563,0.0,0.0,6165.747305159683
2025-07-30,34814.80045681062,25586.84922514081,43010.35225624875,0.0,0.0,6343.485226722234
2025-07-31,34883.44353852907,25816.30723727954,44338.31321378963,0.0,0.0,6248.572503441986
2025-08-01,34953.61350596369,25624.263618774745,44518.58900852868,0.0,0.0,6490.288396274563
2025-08-02,35026.18917583382,27056.664666842877,43991.94718603592,0.0,0.0,6431.826810042065
2025-08-03,35180.53870101241,26509.66515034764,44004.77714474748,0.0,0.0,7008.814355537859
2025-08-04,35262.03234157395,26764.900970515046,44017.33837238352,0.0,0.0,6358.912633646303
2025-08-05,35344.98925762311,26190.34803399439,44445.02008397809,0.0,0.0,6793.091868046994
2025-08-06,35381.266626190016,26416.248404630904,44489.5831288428,0.0,0.0,6363.934402499551
2025-08-07,35468.69773793614,26629.682446765153,43946.21587825702,0.0,0.0,6724.118296097737
2025-08-08,35555.268888841405,27480.97339778693,44702.62205789958,0.0,0.0,6702.312582114128
2025-08-09,35641.566808741634,26612.385007977897,44941.191592922114,0.0,0.0,6819.907040030027
2025-08-10,35806.7404923133,26593.105642904255,45203.44806653409,0.0,0.0,7065.086852011047
2025-08-11,35896.019376527205,26685.033682197252,44639.050808069966,0.0,0.0,7582.568464004876
2025-08-12,35983.663226682955,26504.82264194489,45387.361362820586,0.0,0.0,6546.685993266638
2025-08-13,36021.55195993313,26948.359161260054,44900.638350506095,0.0,0.0,7166.128734489124
2025-08-14,36107.62205958793,27490.949224748536,45046.12039193765,0.0,0.0,6902.07559873055
2025-08-15,36190.039463611414,26675.022123627263,45106.845850510465,0.0,0.0,7087.713622866698
2025-08-16,36269.64080579098,27253.486553768227,44848.504377851124,0.0,0.0,7303.901920231336
2025-08-17,36425.887075797014,26921.500506452776,45715.116025907504,0.0,0.0,7050.767177515962
2025-08-18,36504.371900524355,27322.16232336234,45559.47027133832,0.0,0.0,7814.303838127141
2025-08-19,36579.76011697781,27879.81657399712,45690.469108837475,0.0,0.0,7936.079320834545
2025-08-20,36604.365214099045,27789.779414055203,45386.013481682276,0.0,0.0,7833.094647389618
2025-08-21,36676.572675048934,27208.88051423981,45758.709888237194,0.0,0.0,7171.166011075038
2025-08-22,36744.999499823934,27439.692633974588,46063.593288287484,0.0,0.0,7098.594005076108
